Date,Product ID,Sale Amount,Region,Discount,Quantity,Customer Type,Sales Rep,Payment Method,Return Status,Shipping Cost
2/1/2024,P0072,406,North,34.42,16,Online,Alice,Cash,Yes,13.46
2/1/2024,P0064,289,West,13.62,11,Retail,David,Credit Card,No,11.06
2/1/2024,P0037,88,East,41.6,4,Wholesale,Bob,PayPal,No,12.35
2/1/2024,P0031,252,West,4.19,18,Wholesale,David,Bank Transfer,No,10.33
2/1/2024,P0037,202,West,38.66,5,Wholesale,David,Credit Card,No,9.19
2/1/2024,P0045,479,East,5,6,Online,Bob,PayPal,No,15.12
2/1/2024,P0090,427,East,44.06,2,Wholesale,Alice,Credit Card,No,16.68
2/1/2024,P0008,251,South,15.21,12,Wholesale,Charlie,PayPal,Yes,18.11
2/1/2024,P0040,60,East,32.72,9,Wholesale,Alice,PayPal,No,7.33
2/1/2024,P0097,241,North,24.38,12,Retail,Alice,Credit Card,No,17.34
2/1/2024,P0093,268,West,18.32,13,Retail,David,PayPal,No,8.82
2/1/2024,P0005,393,South,32.27,17,Retail,Bob,Bank Transfer,Yes,11.41
2/1/2024,P0028,384,East,47.38,5,Retail,Charlie,Bank Transfer,No,18.52
2/1/2024,P0081,227,West,2.06,13,Retail,David,Credit Card,No,11.82
2/1/2024,P0087,215,North,45.94,13,Retail,Charlie,Credit Card,No,7.96
2/1/2024,P0009,323,North,30.45,10,Retail,David,PayPal,No,7.4
2/1/2024,P0002,498,South,40.37,15,Wholesale,Bob,PayPal,No,12.09
2/1/2024,P0063,390,North,19.19,15,Wholesale,Charlie,Credit Card,No,16.44
2/1/2024,P0096,465,West,23.59,18,Online,Charlie,Cash,No,19.96
2/1/2024,P0051,378,East,43.44,18,Wholesale,Alice,Credit Card,No,16.81
2/1/2024,P0031,320,North,20.74,2,Retail,David,Cash,No,18.16
2/1/2024,P0007,384,East,26.73,11,Retail,David,Cash,No,16.22
2/1/2024,P0030,129,West,1.01,13,Online,David,Credit Card,No,18.43
2/1/2024,P0058,89,West,7.93,11,Wholesale,Alice,Credit Card,No,6.14
2/2/2024,P0003,51,East,32.08,4,Wholesale,Alice,Credit Card,No,18.95
2/2/2024,P0051,30,West,35.85,15,Online,Charlie,Cash,No,10.95
2/2/2024,P0056,19,South,29.13,11,Retail,David,Bank Transfer,No,18.82
2/2/2024,P0073,322,North,7.17,18,Retail,David,Bank Transfer,No,6.14
2/2/2024,P0010,162,South,22.27,16,Retail,Charlie,Credit Card,No,15.73
2/2/2024,P0061,321,South,17.75,10,Retail,Charlie,Credit Card,No,16.04
2/2/2024,P0050,303,South,24.78,12,Online,Charlie,PayPal,No,19.95
2/2/2024,P0047,95,East,43.52,13,Wholesale,Bob,PayPal,No,16.53
2/2/2024,P0090,122,East,38.79,9,Retail,Bob,PayPal,No,10.74
2/2/2024,P0001,198,West,4.2,13,Wholesale,Charlie,Credit Card,Yes,13.36
2/2/2024,P0094,121,East,44.52,6,Wholesale,Alice,Bank Transfer,No,10.5
2/2/2024,P0057,184,West,23.59,6,Retail,Alice,Bank Transfer,No,7.94
2/2/2024,P0038,319,East,37.19,11,Retail,David,Credit Card,No,8.73
2/2/2024,P0062,311,West,7,19,Retail,Bob,Credit Card,No,8.33
2/2/2024,P0079,461,North,33.54,11,Wholesale,Bob,Cash,No,13.23
2/2/2024,P0089,13,West,11.82,10,Online,Charlie,Cash,No,18.59
2/2/2024,P0070,231,North,21.92,15,Retail,Charlie,Bank Transfer,No,18.69
2/2/2024,P0082,459,West,0.84,13,Wholesale,Charlie,PayPal,No,5.82
2/2/2024,P0065,230,East,7.58,8,Wholesale,Charlie,Bank Transfer,No,6.2
2/2/2024,P0062,180,East,4.6,5,Retail,Charlie,Cash,No,8.68
2/2/2024,P0056,327,North,11.99,2,Online,Alice,Bank Transfer,No,8.83
2/2/2024,P0067,493,South,5,16,Retail,Alice,Cash,No,6.42
2/2/2024,P0017,222,South,34.6,13,Retail,Charlie,Cash,Yes,10.83
2/2/2024,P0008,262,West,1.45,19,Online,Alice,PayPal,No,13.82
2/3/2024,P0060,133,East,30.89,9,Retail,Charlie,PayPal,No,13.67
2/3/2024,P0040,137,South,7.04,15,Retail,Charlie,Cash,No,13.15
2/3/2024,P0081,222,East,47.26,6,Online,Bob,Credit Card,No,10.08
2/3/2024,P0089,121,East,46.65,8,Wholesale,Alice,PayPal,No,15.6
2/3/2024,P0062,94,East,11.28,14,Wholesale,Alice,Cash,No,17.4
2/3/2024,P0041,13,West,30.72,5,Wholesale,Bob,Credit Card,No,10.19
2/3/2024,P0012,74,North,1.4,17,Wholesale,Alice,Credit Card,No,6.28
2/3/2024,P0093,327,West,46.59,7,Wholesale,Bob,Bank Transfer,No,9.44
2/3/2024,P0089,355,South,26.15,9,Retail,David,Bank Transfer,No,7.06
2/3/2024,P0100,129,North,2.16,16,Online,Alice,PayPal,No,12.01
2/3/2024,P0054,252,South,17.12,18,Wholesale,Charlie,Credit Card,No,7.34
2/3/2024,P0089,395,North,3.84,13,Online,Bob,PayPal,No,11.94
2/3/2024,P0093,146,North,19.65,18,Wholesale,Charlie,Cash,No,8.32
2/3/2024,P0011,256,West,33.5,10,Retail,Charlie,PayPal,No,16.08
2/3/2024,P0060,450,East,23.49,1,Wholesale,Alice,Credit Card,No,5.41
2/3/2024,P0068,54,East,19.19,18,Wholesale,Bob,Bank Transfer,No,13.32
2/3/2024,P0078,155,North,5.96,19,Online,David,PayPal,No,7.54
2/3/2024,P0046,377,West,12.25,2,Online,Charlie,Bank Transfer,No,5.01
2/3/2024,P0038,185,South,5.01,4,Retail,Charlie,PayPal,No,18.04
2/3/2024,P0061,51,South,40.37,11,Online,David,Cash,No,15.07
2/3/2024,P0017,306,East,6.76,3,Online,Bob,Credit Card,No,6.48
2/3/2024,P0066,468,East,29.77,9,Online,Alice,PayPal,Yes,14.96
2/3/2024,P0072,98,South,17.14,10,Retail,Charlie,Cash,Yes,14.17
2/3/2024,P0036,227,South,11.3,2,Retail,Alice,Cash,No,12.1
2/4/2024,P0074,451,West,31.97,7,Retail,Bob,Cash,No,11.29
2/4/2024,P0007,237,South,22.85,15,Online,David,Bank Transfer,No,18.31
2/4/2024,P0100,307,West,20.01,19,Online,Alice,Bank Transfer,No,8.68
2/4/2024,P0016,300,East,29.64,10,Retail,Bob,Cash,Yes,10.97
2/4/2024,P0014,431,South,24.56,14,Online,Alice,Cash,No,9.94
2/4/2024,P0080,76,East,15.17,4,Online,Alice,PayPal,No,16.57
2/4/2024,P0025,260,North,27.95,11,Wholesale,Charlie,PayPal,No,18.75
2/4/2024,P0004,50,North,33.47,3,Retail,Alice,Credit Card,No,17.75
2/4/2024,P0029,108,North,1.33,17,Retail,Charlie,PayPal,No,16.97
2/4/2024,P0056,315,South,23.29,7,Online,Bob,Credit Card,No,19.8
2/4/2024,P0006,369,East,2.88,11,Online,Bob,Credit Card,No,15.46
2/4/2024,P0001,351,South,9.32,18,Wholesale,Charlie,Credit Card,Yes,16.27
