Date,Product ID,Sale Amount,Region,Discount,Quantity,Customer Type,Sales Rep,Payment Method,Return Status,Shipping Cost
3/1/2024,P0073,122,East,15.07,17,Wholesale,Charlie,Bank Transfer,No,7.13
3/1/2024,P0009,116,North,25.53,8,Wholesale,David,Cash,No,7.7
3/1/2024,P0053,33,East,42.88,3,Wholesale,David,PayPal,No,17.16
3/1/2024,P0088,290,East,43.24,12,Retail,Alice,Bank Transfer,No,19.9
3/1/2024,P0010,497,North,1.28,13,Retail,David,PayPal,No,18.01
3/1/2024,P0084,446,South,33.55,18,Wholesale,Bob,Credit Card,No,14.53
3/1/2024,P0081,213,East,30.08,11,Wholesale,David,Credit Card,No,15.84
3/1/2024,P0077,20,North,4.17,2,Online,Alice,PayPal,No,12.84
3/1/2024,P0029,359,West,46.51,14,Wholesale,David,PayPal,No,11.34
3/1/2024,P0036,325,North,22.27,1,Online,Alice,Credit Card,No,15.38
3/1/2024,P0087,214,East,33.71,15,Wholesale,Charlie,Credit Card,No,19.6
3/1/2024,P0027,440,West,44.14,18,Wholesale,Alice,Bank Transfer,No,5.43
3/1/2024,P0018,418,East,6.51,18,Retail,Bob,Credit Card,No,9.71
3/1/2024,P0018,34,North,42.79,17,Wholesale,Bob,Bank Transfer,No,9.95
3/1/2024,P0009,410,West,36.22,1,Online,Bob,Credit Card,No,11.21
3/1/2024,P0067,149,East,41.98,14,Retail,Alice,Bank Transfer,No,14.4
3/1/2024,P0007,132,North,24.74,16,Online,Alice,Cash,No,12.71
3/1/2024,P0058,445,West,1.67,4,Wholesale,Bob,Cash,No,5.28
3/1/2024,P0079,20,East,33.53,6,Retail,David,Bank Transfer,No,11.17
3/1/2024,P0030,275,North,18.73,16,Online,Alice,PayPal,No,14.29
3/1/2024,P0073,90,East,20.12,6,Wholesale,David,Cash,No,12.57
3/1/2024,P0061,453,East,22.06,15,Online,Charlie,Credit Card,No,18.08
3/1/2024,P0091,319,East,24.65,1,Wholesale,Charlie,PayPal,No,10.98
3/1/2024,P0100,118,South,33.1,7,Online,Charlie,Credit Card,No,5.19
3/2/2024,P0082,217,East,36.34,11,Wholesale,Charlie,Cash,No,9.27
3/2/2024,P0095,328,West,38.84,1,Online,Bob,Credit Card,No,7.04
3/2/2024,P0017,253,North,33.58,8,Retail,Alice,Bank Transfer,No,8.75
3/2/2024,P0053,285,North,40.17,14,Wholesale,Charlie,PayPal,No,10.43
3/2/2024,P0006,270,South,6.11,5,Wholesale,Bob,Cash,No,15.15
3/2/2024,P0039,306,South,41.84,13,Online,Charlie,PayPal,Yes,9.86
3/2/2024,P0025,383,South,19.36,15,Wholesale,Alice,Bank Transfer,No,18.26
3/2/2024,P0042,72,East,26.44,9,Retail,Charlie,Cash,No,9.49
3/2/2024,P0042,193,East,21.69,8,Online,Charlie,Credit Card,No,7.05
3/2/2024,P0059,41,West,23.79,19,Online,David,PayPal,No,7.53
3/2/2024,P0038,292,North,14.27,17,Online,David,Cash,Yes,19.02
3/2/2024,P0031,333,North,8.5,19,Retail,David,Cash,No,11.82
3/2/2024,P0029,370,East,5.24,18,Retail,David,Bank Transfer,No,11.05
3/2/2024,P0009,441,North,22.57,18,Wholesale,Charlie,Cash,Yes,6.03
3/2/2024,P0001,16,East,6.26,4,Online,Charlie,Cash,No,16
3/2/2024,P0080,183,South,12.25,2,Retail,David,Bank Transfer,No,15.42
3/2/2024,P0087,471,East,6.68,5,Wholesale,Alice,Credit Card,Yes,10.64
3/2/2024,P0072,368,West,5.46,17,Retail,Bob,Credit Card,No,15.38
3/2/2024,P0047,481,East,44.12,7,Retail,Charlie,Cash,No,10.51
3/2/2024,P0076,377,East,33.7,16,Retail,David,Credit Card,No,6.1
3/2/2024,P0010,155,North,46.19,1,Wholesale,Bob,Bank Transfer,No,16.07
3/2/2024,P0016,261,East,32.2,12,Retail,David,Credit Card,No,19.48
3/2/2024,P0047,175,West,42.2,19,Retail,David,Cash,No,14.72
3/2/2024,P0043,112,East,27.76,9,Retail,Alice,Bank Transfer,No,9.15
3/3/2024,P0024,497,East,23.13,16,Online,Alice,Credit Card,No,9.05
3/3/2024,P0008,202,South,26.42,7,Retail,Charlie,PayPal,No,18.93
3/3/2024,P0075,26,East,16.01,15,Online,David,PayPal,No,9.55
3/3/2024,P0026,99,East,32.9,12,Retail,Bob,Bank Transfer,No,16.52
3/3/2024,P0007,380,East,44.86,4,Online,Charlie,Credit Card,No,14.64
3/3/2024,P0079,95,West,39.12,6,Retail,Alice,Cash,No,13.89
3/3/2024,P0015,112,North,23.1,6,Online,Charlie,PayPal,No,7.72
3/3/2024,P0048,91,South,47.7,15,Online,Charlie,Credit Card,No,5.52
3/3/2024,P0003,135,South,49.27,3,Online,David,Credit Card,Yes,12.33
3/3/2024,P0016,47,East,24.66,2,Retail,Bob,Cash,No,19.82
3/3/2024,P0079,357,East,43.23,5,Wholesale,Alice,Cash,No,7.94
3/3/2024,P0089,222,North,0.24,8,Online,Charlie,Credit Card,No,13.05
3/3/2024,P0097,328,East,3.33,19,Online,Charlie,Cash,No,15.06
3/3/2024,P0014,495,West,1.12,16,Online,David,Bank Transfer,No,12.26
3/3/2024,P0088,234,North,38.66,19,Online,Charlie,PayPal,No,12.6
3/3/2024,P0075,231,East,3.99,16,Online,Bob,PayPal,No,14.92
3/3/2024,P0003,435,North,0.85,6,Wholesale,David,Credit Card,No,17.22
3/3/2024,P0073,256,South,7.37,1,Retail,Alice,Credit Card,No,10
3/3/2024,P0070,145,East,15.31,18,Wholesale,Charlie,Cash,No,18.49
3/3/2024,P0031,295,North,23.24,8,Retail,Charlie,PayPal,No,12.27
3/3/2024,P0080,240,North,3.27,5,Wholesale,David,Cash,No,14.93
3/3/2024,P0075,329,East,24.95,12,Retail,Charlie,Credit Card,No,6.6
3/3/2024,P0017,18,North,12.4,18,Online,Alice,Credit Card,No,12.39
3/3/2024,P0049,234,East,13.72,5,Retail,Bob,Credit Card,No,5.24
3/4/2024,P0003,322,East,41.1,13,Retail,Bob,Credit Card,No,10.87
3/4/2024,P0083,116,West,49.35,12,Online,David,Credit Card,No,5.82
3/4/2024,P0088,196,West,23.19,16,Online,Charlie,Credit Card,No,18.45
3/4/2024,P0055,230,North,16.09,14,Retail,David,Bank Transfer,No,15.09
3/4/2024,P0072,104,North,46.57,11,Retail,David,Bank Transfer,No,16.88
